# Matter power spectrum P(k) at redshift z=45
# for k=1.02901e-05 to 20.064 h/Mpc,
# number of wavenumbers equal to 630
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.925139603005e-02       9.912855010534e+00 
       5.039860841760e-02       9.727335315964e+00 
       5.157254281443e-02       9.552448028567e+00 
       5.277382165610e-02       9.387439706575e+00 
       5.400308187657e-02       9.231306460828e+00 
       5.526097524585e-02       9.082923984131e+00 
       5.654816871568e-02       8.940911238038e+00 
       5.786534477307e-02       8.803701313850e+00 
       5.921320180219e-02       8.669562399358e+00 
       6.059245445469e-02       8.536642771078e+00 
       6.200383402857e-02       8.402972756972e+00 
       6.344808885598e-02       8.266581718925e+00 
       6.492598469993e-02       8.125441994354e+00 
       6.643830516036e-02       7.977669348742e+00 
       6.798585208961e-02       7.821526566829e+00 
       6.956944601753e-02       7.655533937267e+00 
       7.118992658660e-02       7.478535462051e+00 
       7.284815299705e-02       7.289795703104e+00 
       7.454500446247e-02       7.089075514432e+00 
       7.628138067599e-02       6.876674687874e+00 
       7.805820228724e-02       6.653478449824e+00 
       7.987641139056e-02       6.420966542316e+00 
       8.173697202450e-02       6.181159173541e+00 
       8.364087068292e-02       5.936619187991e+00 
       8.558911683809e-02       5.690291211808e+00 
       8.758274347592e-02       5.445411553441e+00 
       8.962280764363e-02       5.205365314731e+00 
       9.171039101025e-02       4.973503291990e+00 
       9.384660044012e-02       4.752973642042e+00 
       9.603256857974e-02       4.546564377296e+00 
       9.826945445837e-02       4.356516682803e+00 
       1.005584441025e-01       4.184456083164e+00 
       1.029007511648e-01       4.031227511097e+00 
       1.052976175673e-01       3.896829177157e+00 
       1.077503141605e-01       3.780443733179e+00 
       1.102601413965e-01       3.680364211627e+00 
       1.128284300189e-01       3.594030395465e+00 
       1.154565417684e-01       3.518168400327e+00 
       1.181458701046e-01       3.448888703810e+00 
       1.208978409449e-01       3.381944734026e+00 
       1.237139134208e-01       3.313002389481e+00 
       1.265955806511e-01       3.238045827170e+00 
       1.295443705340e-01       3.153783371832e+00 
       1.325618465569e-01       3.058038436046e+00 
       1.356496086254e-01       2.950075133834e+00 
       1.388092939120e-01       2.830736145732e+00 
       1.420425777236e-01       2.702432235101e+00 
       1.453511743901e-01       2.568856766259e+00 
       1.487368381732e-01       2.434552567462e+00 
       1.522013641966e-01       2.304334050085e+00 
       1.557465893979e-01       2.182755697478e+00 
       1.593743935025e-01       2.073431889897e+00 
